postal_code;latitude;longitude
164 72;59.4032;17.9448
164 73;59.4032;17.9448
164 74;59.4032;17.9448
164 91;59.4032;17.9448
165 55;59.15;16.85
165 56;59.15;16.85
165 57;59.15;16.85
165 62;59.15;16.85
165 64;59.15;16.85
165 70;59.15;16.85
165 73;59.15;16.85
165 74;59.15;16.85
165 75;59.15;16.85
167 32;59.35;17.9167
167 39;59.35;17.9167
167 41;59.35;17.9167
167 44;59.35;17.9167
167 51;59.35;17.9167
167 53;59.35;17.9167
167 62;59.35;17.9167
167 74;59.35;17.9167
168 30;59.35;17.9167
168 36;59.35;17.9167
168 41;59.35;17.9167
168 43;59.35;17.9167
168 48;59.35;17.9167
168 49;59.35;17.9167
168 51;59.35;17.9167
168 52;59.35;17.9167
168 53;59.35;17.9167
168 59;59.35;17.9167
168 62;59.357632;17.8936878
168 67;59.35;17.9167
168 70;59.3639633;17.953328
168 71;59.3644749;17.9459777
168 72;59.3627897;17.9484564
168 76;59.35;17.9167
169 32;59.36;18.0009
169 36;59.36;18.0009
169 50;59.36;18.0009
169 51;59.36;18.0009
169 59;59.36;18.0009
169 66;59.36;18.0009
169 67;59.36;18.0009
169 68;59.36;18.0009
169 70;59.36;18.0009
169 72;59.36;18.0009
169 73;59.36;18.0009
169 79;59.3700841;18.00164
169 80;59.36;18.0009
170 64;59.36;18.0009
170 65;59.36;18.0009
170 67;59.36;18.0009
170 70;59.36;18.0009
170 76;59.36;18.0009
170 77;59.36;18.0009
170 78;59.36;18.0009
171 28;59.36;18.0009
171 44;59.36;18.0009
171 45;59.36;18.0009
171 52;59.36;18.0009
171 54;59.36;18.0009
171 58;59.36;18.0009
171 61;59.36;18.0009
171 62;59.36;18.0009
171 63;59.36;18.0009
171 64;59.36;18.0009
171 65;59.36;18.0009
171 67;59.36;18.0009
171 71;59.36;18.0009
171 76;59.3326;18.0649
172 02;59.3670471;17.9663093
172 24;59.3613;17.9711
172 31;59.3613;17.9711
172 33;59.3613;17.9711
172 34;59.3613;17.9711
172 35;59.3613;17.9711
172 37;59.3613;17.9711
172 38;59.3613;17.9711
172 41;59.3613;17.9711
172 63;59.3613;17.9711
172 65;59.3613;17.9711
172 67;59.3613;17.9711
172 72;59.3613;17.9711
172 75;59.3613;17.9711
172 78;59.3613;17.9711
174 41;59.3859739;17.9744534
174 44;59.3613;17.9711
174 51;59.3613;17.9711
174 52;59.3613;17.9711
174 53;59.3613;17.9711
174 55;59.3613;17.9711
174 58;59.3613;17.9711
174 63;59.3863253;17.9466751
175 02;59.410065;17.836804
175 04;59.3501;17.9658
175 41;59.3501;17.9658
175 43;59.3501;17.9658
175 45;59.3501;17.9658
175 49;59.3501;17.9658
